uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
LBg3cQge,8.99,54,1,1,2,1,112,4,Other
rEvx4uHC,16.99,54,1,1,2,1,112,4,Other
Fgg31Cjx,3.99,54,1,1,1,1,111,3,Lost Cheap Customers
3XDE2ljs,119.91999999999997,46,8,1,4,4,144,9,Lost Customers
ssXUue5I,20.96,54,4,1,3,3,133,7,Other
tURmGsWL,10.97,47,3,1,2,3,132,6,Other
Xo4MkPQJ,16.99,54,1,1,2,1,112,4,Other
Cf1BKK56,203.88,31,12,3,4,4,344,11,Other
y7QEsxfV,0.99,54,1,1,1,1,111,3,Lost Cheap Customers
M1obmNHW,4.98,40,2,2,1,2,221,5,Other
MfWCN5yu,64.99,54,1,1,4,1,114,6,Big Spenders
LqvQRC5X,152.88,34,12,2,4,4,244,10,Almost Lost
KgDdq6jr,60.93,24,7,4,4,4,444,12,Champions
KbgkuKeG,17.98,45,2,1,3,2,123,6,Other
2oc6xVpn,46.839999999999996,29,16,3,4,4,344,11,Other
uvmTvDfU,85.92999999999996,53,7,1,4,4,144,9,Lost Customers
qKq2WDoE,0.99,54,1,1,1,1,111,3,Lost Cheap Customers
ffh4cCBd,2.9699999999999998,34,3,2,1,3,231,6,Other
PHXf2TR6,18.97,52,3,1,3,3,133,7,Other
YdHhw2og,3.99,54,1,1,1,1,111,3,Lost Cheap Customers
ToP6pgTY,14.96,43,4,1,2,3,132,6,Other
jLLefopX,17.98,41,2,1,3,2,123,6,Other
jycqihc6,0.99,54,1,1,1,1,111,3,Lost Cheap Customers
ESdrJsYO,0.99,54,1,1,1,1,111,3,Lost Cheap Customers
TjXOe3k5,34.99,54,1,1,3,1,113,5,Other
rMCIjs2V,351.92,23,8,4,4,4,444,12,Champions
r4B6HOxi,3.99,54,1,1,1,1,111,3,Lost Cheap Customers
pwN3Ht72,4.98,54,2,1,1,2,121,4,Other
iYq4Jy1I,104.97,41,3,1,4,3,134,8,Big Spenders
OdqwxuGi,3.99,54,1,1,1,1,111,3,Lost Cheap Customers
ONwgIr18,7.98,54,2,1,2,2,122,5,Other
pMgd2ucc,23.95,41,5,1,3,4,143,8,Loyal Customers
x8dxRGRN,0.99,54,1,1,1,1,111,3,Lost Cheap Customers
4FSHpuFi,38.89000000000001,33,11,2,4,4,244,10,Almost Lost
wJqJobFI,129.98,53,2,1,4,2,124,7,Big Spenders
qYGLoJ6u,0.99,53,1,1,1,1,111,3,Lost Cheap Customers
rqBVTPWP,26.97,52,3,1,3,3,133,7,Other
PUu1OJ5X,11.96,46,4,1,2,3,132,6,Other
p62QVP7K,3.99,53,1,1,1,1,111,3,Lost Cheap Customers
Qqw7Ewo2,7.98,50,2,1,2,2,122,5,Other
BDE6Prr4,39.89000000000001,36,11,2,4,4,244,10,Almost Lost
WXt71Syg,118.76999999999994,32,23,3,4,4,344,11,Other
cOTGsVME,146.79999999999998,25,20,4,4,4,444,12,Champions
K68sppqi,11.97,39,3,2,2,3,232,7,Other
CxHII2PM,20.940000000000005,39,6,2,3,4,243,9,Loyal Customers
tYugLWEI,13.950000000000001,42,5,1,2,4,142,7,Loyal Customers
VUhqKCPK,12.98,51,2,1,2,2,122,5,Other
hl4nWyu4,8.99,53,1,1,2,1,112,4,Other
gsXEJxQw,34.99,53,1,1,3,1,113,5,Other
