RFM_score,uid,monetary
3,94,243.0600000000003
4,129,913.5700000000011
5,177,1321.5900000000017
6,183,2209.829999999993
7,158,2634.389999999992
8,154,4285.279999999992
9,116,5247.969999999995
10,140,9935.37999999998
11,120,12351.539999999994
12,109,17585.859999999997
